model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",297000,322000,3000,False,seqs,5.9343e-04),0.0606%,0.0399%,32.9297%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",300000,325000,3000,False,seqs,7.6327e-04),0.0935%,0.0525%,36.4453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",303000,328000,3000,False,seqs,7.2729e-04),0.0641%,0.0469%,44.1406%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",306000,331000,3000,False,seqs,7.7197e-04),0.1352%,0.0442%,36.4062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",309000,334000,3000,False,seqs,5.4989e-04),0.0561%,0.0411%,36.1328%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",312000,337000,3000,False,seqs,8.3196e-04),0.0393%,0.0249%,47.8906%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",315000,340000,3000,False,seqs,6.5120e-04),0.0410%,0.0238%,40.8594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",318000,343000,3000,False,seqs,7.1762e-04),0.0364%,0.0289%,46.5234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",321000,346000,3000,False,seqs,8.0614e-04),0.0309%,0.0235%,45.7812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",324000,349000,3000,False,seqs,6.2335e-04),0.0301%,0.0217%,43.6719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",327000,352000,3000,False,seqs,8.3150e-04),0.0603%,0.0296%,38.0469%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",330000,355000,3000,False,seqs,8.3724e-04),0.0358%,0.0291%,53.2812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",333000,358000,3000,False,seqs,3.8834e-04),0.0716%,0.0302%,52.3828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",336000,361000,3000,False,seqs,6.2823e-04),0.0604%,0.0235%,58.4766%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",339000,364000,3000,False,seqs,4.4303e-04),0.0348%,0.0249%,43.7891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",342000,367000,3000,False,seqs,6.1266e-04),0.0313%,0.0245%,42.9297%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",345000,370000,3000,False,seqs,5.4407e-04),0.0585%,0.0322%,41.5625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",348000,373000,3000,False,seqs,5.0219e-04),0.0653%,0.0242%,39.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",351000,376000,3000,False,seqs,6.0101e-04),0.0719%,0.0251%,44.3750%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",354000,379000,3000,False,seqs,5.1753e-04),0.0362%,0.0166%,42.8125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",357000,382000,3000,False,seqs,4.6374e-04),0.0531%,0.0164%,46.4063%
