model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",234000,259000,3000,False,seqs,5.6962e-04,0.0548%,0.0466%,42.8711%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",237000,262000,3000,False,seqs,6.0399e-04,0.1234%,0.0368%,45.5078%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",240000,265000,3000,False,seqs,5.3973e-04,0.0603%,0.0457%,41.7480%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",243000,268000,3000,False,seqs,4.4986e-04,0.0392%,0.0298%,45.2148%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",246000,271000,3000,False,seqs,6.6289e-04,0.0468%,0.0305%,49.5605%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",249000,274000,3000,False,seqs,5.0664e-04,0.0998%,0.0769%,36.8652%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",252000,277000,3000,False,seqs,6.4569e-04,0.0693%,0.0336%,47.2656%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",255000,280000,3000,False,seqs,5.3954e-04,0.0447%,0.0206%,39.3066%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",258000,283000,3000,False,seqs,7.7576e-04,0.0439%,0.0334%,46.1914%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",261000,286000,3000,False,seqs,5.6938e-04,0.0529%,0.0323%,46.3867%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",264000,289000,3000,False,seqs,5.4526e-04,0.0548%,0.0334%,48.4863%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",267000,292000,3000,False,seqs,6.2636e-04,0.0661%,0.0557%,45.1172%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",270000,295000,3000,False,seqs,7.6148e-04,0.0572%,0.0237%,46.2402%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",273000,298000,3000,False,seqs,6.9476e-04,0.0810%,0.0585%,46.1426%
