datetime,close,open,high,low,volume,missing
2016-02-22,1945.5,1924.44,1946.7,1924.44,,0
2016-02-23,1921.27,1942.38,1942.38,1919.44,,0
2016-02-24,1929.8,1917.56,1932.08,1891.0,,0
2016-02-25,1951.7,1931.87,1951.83,1925.41,,0
2016-02-26,1948.05,1954.95,1962.96,1945.78,,0
2016-02-29,1932.23,1947.13,1958.27,1931.81,,0
2016-03-01,1978.35,1937.09,1978.35,1937.09,,0
2016-03-02,1986.45,1976.6,1986.51,1968.8,,0
2016-03-03,1993.4,1985.6,1993.69,1977.37,,0
2016-03-04,1999.99,1994.01,2009.13,1986.77,,0
2016-03-07,2001.76,1996.11,2006.12,1989.38,,0
2016-03-08,1979.26,1996.88,1996.88,1977.43,,0
2016-03-09,1989.26,1981.44,1992.69,1979.84,,0
2016-03-10,1989.57,1990.97,2005.08,1969.25,,0
2016-03-11,2022.19,1994.71,2022.37,1994.71,,0
2016-03-14,2019.64,2019.27,2024.57,2012.05,,0
2016-03-15,2015.93,2015.27,2015.94,2005.23,,0
2016-03-16,2027.22,2014.24,2032.02,2010.04,,0
2016-03-17,2040.59,2026.9,2046.24,2022.16,,0
2016-03-18,2049.58,2041.16,2052.36,2041.16,,0
2016-03-21,2051.6,2047.88,2053.91,2043.14,,0
2016-03-22,2049.8,2048.64,2056.6,2040.57,,0
2016-03-23,2036.71,2048.55,2048.55,2034.86,,0
2016-03-24,2035.94,2032.48,2036.04,2022.49,,0
2016-03-28,2037.05,2037.89,2042.67,2031.96,,0
2016-03-29,2055.01,2035.75,2055.91,2028.31,,0
2016-03-30,2063.95,2058.27,2072.21,2058.27,,0
2016-03-31,2059.74,2063.77,2067.92,2057.46,,0
2016-04-01,2072.78,2056.62,2075.07,2043.98,,0
2016-04-04,2066.13,2073.19,2074.02,2062.57,,0
2016-04-05,2045.17,2062.5,2062.5,2042.56,,0
2016-04-06,2066.66,2045.56,2067.33,2043.09,,0
2016-04-07,2041.91,2063.01,2063.01,2033.8,,0
2016-04-08,2047.6,2045.54,2060.63,2041.69,,0
2016-04-11,2041.99,2050.23,2062.93,2041.88,,0
2016-04-12,2061.72,2043.72,2065.05,2039.74,,0
2016-04-13,2082.42,2065.92,2083.18,2065.92,,0
2016-04-14,2082.78,2082.89,2087.84,2078.13,,0
2016-04-15,2080.73,2083.1,2083.22,2076.31,,0
2016-04-18,2094.34,2078.83,2094.66,2073.65,,0
2016-04-19,2100.8,2096.05,2104.05,2091.68,,0
2016-04-20,2102.4,2101.52,2111.05,2096.32,,0
2016-04-21,2091.48,2102.09,2103.78,2088.52,,0
2016-04-22,2091.58,2091.49,2094.32,2081.2,,0
2016-04-25,2087.79,2089.37,2089.37,2077.52,,0
2016-04-26,2091.7,2089.84,2096.87,2085.8,,0
2016-04-27,2095.15,2092.33,2099.89,2082.31,,0
2016-04-28,2075.81,2090.93,2099.3,2071.62,,0
2016-04-29,2065.3,2071.82,2073.85,2052.28,,0
2016-05-02,2081.43,2067.17,2083.42,2066.11,,0
2016-05-03,2063.37,2077.18,2077.18,2054.89,,0
2016-05-04,2051.12,2060.3,2060.3,2045.55,,0
2016-05-05,2050.63,2052.95,2060.23,2045.77,,0
2016-05-06,2057.14,2047.77,2057.72,2039.45,,0
2016-05-09,2058.69,2057.55,2064.15,2054.31,,0
2016-05-10,2084.39,2062.63,2084.87,2062.63,,0
2016-05-11,2064.46,2083.29,2083.29,2064.46,,0
2016-05-12,2064.11,2067.17,2073.99,2053.13,,0
2016-05-13,2046.61,2062.5,2066.79,2043.13,,0
2016-05-16,2066.66,2046.53,2071.88,2046.53,,0
2016-05-17,2047.21,2065.04,2065.69,2040.82,,0
2016-05-18,2047.63,2044.38,2060.61,2034.49,,0
2016-05-19,2040.04,2044.21,2044.21,2025.91,,0
2016-05-20,2052.32,2041.88,2058.35,2041.88,,0
2016-05-23,2048.04,2052.23,2055.58,2047.26,,0
2016-05-24,2076.06,2052.65,2079.67,2052.65,,0
2016-05-25,2090.54,2078.93,2094.73,2078.93,,0
2016-05-26,2090.1,2091.44,2094.3,2087.08,,0
2016-05-27,2099.06,2090.06,2099.06,2090.06,,0
2016-05-31,2096.96,2100.13,2103.48,2088.66,,0
2016-06-01,2099.33,2093.94,2100.97,2085.1,,0
2016-06-02,2105.26,2097.71,2105.26,2088.59,,0
2016-06-03,2099.13,2104.07,2104.07,2085.36,,0
2016-06-06,2109.41,2100.83,2113.36,2100.83,,0
2016-06-07,2112.13,2110.18,2119.22,2110.18,,0
2016-06-08,2119.12,2112.71,2120.55,2112.71,,0
2016-06-09,2115.48,2115.65,2117.64,2107.73,,0
2016-06-10,2096.07,2109.57,2109.57,2089.96,,0
2016-06-13,2079.06,2091.75,2098.12,2078.46,,0
2016-06-14,2075.32,2076.65,2081.3,2064.1,,0
2016-06-15,2071.5,2077.6,2085.65,2069.8,,0
2016-06-16,2077.99,2066.36,2079.62,2050.37,,0
2016-06-17,2071.22,2078.2,2078.2,2062.84,,0
2016-06-20,2083.25,2075.58,2100.66,2075.58,,0
2016-06-21,2088.9,2085.19,2093.66,2083.02,,0
2016-06-22,2085.45,2089.75,2099.71,2084.36,,0
2016-06-23,2113.32,2092.8,2113.32,2092.8,,0
2016-06-24,2037.41,2103.81,2103.81,2032.57,,0
2016-06-27,2000.54,2031.45,2031.45,1991.68,,0
2016-06-28,2036.09,2006.67,2036.09,2006.67,,0
2016-06-29,2070.77,2042.69,2073.13,2042.69,,0
2016-06-30,2098.86,2073.17,2098.94,2070.0,,0
2016-07-01,2102.95,2099.34,2108.71,2097.9,,0
2016-07-05,2088.55,2095.05,2095.05,2080.86,,0
2016-07-06,2099.73,2084.43,2100.72,2074.02,,0
2016-07-07,2097.9,2100.42,2109.08,2089.39,,0
2016-07-08,2129.9,2106.97,2131.71,2106.97,,0
2016-07-11,2137.16,2131.72,2143.16,2131.72,,0
2016-07-12,2152.14,2139.5,2155.4,2139.5,,0
2016-07-13,2152.43,2153.81,2156.45,2146.21,,0
2016-07-14,2163.75,2157.88,2168.99,2157.88,,0
2016-07-15,2161.74,2165.13,2169.05,2155.79,,0
2016-07-18,2166.89,2162.04,2168.35,2159.63,,0
2016-07-19,2163.78,2163.79,2164.63,2159.01,,0
2016-07-20,2173.02,2166.1,2175.63,2164.89,,0
2016-07-21,2165.17,2172.91,2174.56,2159.75,,0
2016-07-22,2175.03,2166.47,2175.11,2163.24,,0
2016-07-25,2168.48,2173.71,2173.71,2161.95,,0
2016-07-26,2169.18,2168.97,2173.54,2160.18,,0
2016-07-27,2166.58,2169.81,2174.98,2159.07,,0
2016-07-28,2170.06,2166.05,2172.85,2159.74,,0
2016-07-29,2173.6,2168.83,2177.09,2163.49,,0
2016-08-01,2170.84,2173.15,2178.29,2166.21,,0
2016-08-02,2157.03,2169.94,2170.2,2147.58,,0
2016-08-03,2163.79,2156.81,2163.79,2152.56,,0
2016-08-04,2164.25,2163.51,2168.19,2159.07,,0
2016-08-05,2182.87,2168.79,2182.87,2168.79,,0
2016-08-08,2180.89,2183.76,2185.44,2177.85,,0
2016-08-09,2181.74,2182.24,2187.66,2178.61,,0
2016-08-10,2175.49,2182.81,2183.41,2172.0,,0
2016-08-11,2185.79,2177.97,2188.45,2177.97,,0
2016-08-12,2184.05,2183.74,2186.28,2179.42,,0
2016-08-15,2190.15,2186.08,2193.81,2186.08,,0
2016-08-16,2178.15,2186.24,2186.24,2178.14,,0
2016-08-17,2182.22,2177.84,2183.08,2168.5,,0
2016-08-18,2187.02,2181.9,2187.03,2180.46,,0
2016-08-19,2183.87,2184.24,2185.0,2175.13,,0
2016-08-22,2182.64,2181.58,2185.15,2175.96,,0
2016-08-23,2186.9,2187.81,2193.42,2186.8,,0
2016-08-24,2175.44,2185.09,2186.66,2171.25,,0
2016-08-25,2172.47,2173.29,2179.0,2169.74,,0
2016-08-26,2169.04,2175.1,2187.94,2160.39,,0
2016-08-29,2180.38,2170.19,2183.48,2170.19,,0
2016-08-30,2176.12,2179.45,2182.27,2170.41,,0
2016-08-31,2170.95,2173.56,2173.79,2161.35,,0
2016-09-01,2170.86,2171.33,2173.56,2157.09,,0
2016-09-02,2179.98,2177.49,2184.87,2173.59,,0
2016-09-06,2186.48,2181.61,2186.57,2175.1,,0
2016-09-07,2186.16,2185.17,2187.87,2179.07,,0
2016-09-08,2181.3,2182.76,2184.94,2177.49,,0
2016-09-09,2127.81,2169.08,2169.08,2127.81,,0
2016-09-12,2159.04,2120.86,2163.3,2119.12,,0
2016-09-13,2127.02,2150.47,2150.47,2120.27,,0
2016-09-14,2125.77,2127.86,2141.33,2119.9,,0
2016-09-15,2147.26,2125.36,2151.31,2122.36,,0
2016-09-16,2139.16,2146.48,2146.48,2131.2,,0
2016-09-19,2139.12,2143.99,2153.61,2135.91,,0
2016-09-20,2139.76,2145.94,2150.8,2139.17,,0
2016-09-21,2163.12,2144.58,2165.11,2139.57,,0
2016-09-22,2177.18,2170.94,2179.99,2170.94,,0
2016-09-23,2164.69,2173.29,2173.75,2163.97,,0
2016-09-26,2146.1,2158.54,2158.54,2145.04,,0
